,sample_name,plate,sampleID,flag_A,flag_B
439,MIZ151_whole_blood,2,MIZ151,0,0
440,MIZ152_urine,2,MIZ152,0,0
441,MIZ152_whole_blood,3,MIZ152,0,0
442,MIZ159_whole_blood,3,MIZ159,0,0
443,MIZ161_whole_blood,3,MIZ161,0,0
444,MIZ162_whole_blood,3,MIZ162,0,0
445,MIZ164_whole_blood,2,MIZ164,0,0
446,MIZ165_whole_blood,2,MIZ165,0,0
447,MIZ166_whole_blood,2,MIZ166,0,0
448,MIZ167_whole_blood,2,MIZ167,0,0
449,MIZ168_urine,2,MIZ168,0,0
450,MIZ168_whole_blood,3,MIZ168,0,0
451,MIZ168_whole_blood,3,MIZ168,0,0
452,MIZ169_whole_blood,3,MIZ169,0,0
453,MIZ169_whole_blood,3,MIZ169,0,0
454,MIZ170_whole_blood,3,MIZ170,0,0
455,MIZ170_whole_blood,3,MIZ170,0,0
456,MIZ171_whole_blood,3,MIZ171,0,0
457,MIZ171_whole_blood,3,MIZ171,0,0
458,MIZ172_whole_blood,3,MIZ172,0,0
459,MIZ173_whole_blood,3,MIZ173,0,0
460,MIZ174_whole_blood,3,MIZ174,0,0
461,MIZ175_whole_blood,3,MIZ175,0,0
462,MIZ176_whole_blood,3,MIZ176,0,0
463,MIZ177_whole_blood,3,MIZ177,0,0
464,MIZ178_whole_blood,3,MIZ178,0,0
465,MIZ179_whole_blood,3,MIZ179,0,0
466,MIZ180_whole_blood,3,MIZ180,0,0
467,MIZ181_urine-2,2,MIZ181,0,0
468,MIZ181_whole_blood,3,MIZ181,0,0
469,MIZ182_whole_blood,3,MIZ182,0,0
470,MIZ183_whole_blood,3,MIZ183,0,0
471,MIZ184_urine,2,MIZ184,0,0
472,MIZ184_whole_blood,3,MIZ184,0,0
473,MIZ185_whole_blood,3,MIZ185,0,0
474,MIZ186_whole_blood,3,MIZ186,0,0
475,MIZ187_whole_blood,3,MIZ187,0,0
476,MIZ188_urine,2,MIZ188,0,0
477,MIZ188_whole_blood,3,MIZ188,0,0
478,MIZ189_whole_blood,3,MIZ189,0,0
479,MIZ190_urine,2,MIZ190,0,0
480,MIZ190_whole_blood,3,MIZ190,0,0
481,MIZ191_whole_blood,3,MIZ191,0,0
482,MIZ192_whole_blood,2,MIZ192,0,0
483,MIZ192_whole_blood,3,MIZ192,0,0
484,MIZ193_whole_blood,3,MIZ193,0,0
485,MIZ194_whole_blood,3,MIZ194,0,0
486,MIZ195_urine,2,MIZ195,0,0
487,MIZ195_whole_blood,3,MIZ195,0,0
488,MIZ196_whole_blood,3,MIZ196,0,0
489,MIZ197_whole_blood,3,MIZ197,0,0
490,MIZ198_whole_blood,3,MIZ198,0,0
491,MIZ199_whole_blood,3,MIZ199,0,0
492,MIZ200_whole_blood,3,MIZ200,0,0
493,MIZ201_whole_blood,3,MIZ201,0,0
494,MIZ202_whole_blood,3,MIZ202,0,0
495,MIZ203_whole_blood,3,MIZ203,0,0
496,MIZ204_whole_blood,3,MIZ204,0,0
497,MIZ205_whole_blood,3,MIZ205,0,0
498,MIZ206_whole_blood,3,MIZ206,0,0
499,MIZ207_urine,2,MIZ207,0,0
500,MIZ207_whole_blood,3,MIZ207,0,0
501,MIZ208_urine,2,MIZ208,0,0
502,MIZ208_whole_blood,3,MIZ208,0,0
503,MIZ209_whole_blood,3,MIZ209,0,0
504,MIZ210_whole_blood,3,MIZ210,0,0
505,MIZ211_whole_blood,3,MIZ211,0,0
506,MIZ212_whole_blood,3,MIZ212,0,0
507,MIZ213_whole_blood,3,MIZ213,0,0
508,MIZ214_whole_blood,4,MIZ214,0,0
509,MIZ215_whole_blood,4,MIZ215,0,0
510,MIZ216_whole_blood,4,MIZ216,0,0
511,MIZ217_whole_blood,2,MIZ217,0,0
512,MIZ218_whole_blood,3,MIZ218,0,0
513,MIZ219_whole_blood,4,MIZ219,0,0
514,MIZ220_whole_blood,4,MIZ220,0,0
515,MIZ221_whole_blood,2,MIZ221,0,0
516,MIZ222_whole_blood,3,MIZ222,0,0
517,MIZ223_whole_blood,3,MIZ223,0,0
518,MIZ224_whole_blood,4,MIZ224,0,0
519,MIZ225_urine,2,MIZ225,0,0
520,MIZ225_whole_blood,4,MIZ225,0,0
521,MIZ226_whole_blood,4,MIZ226,0,0
522,MIZ227_whole_blood,4,MIZ227,0,0
523,MIZ228_whole_blood,3,MIZ228,0,0
524,MIZ229_whole_blood,4,MIZ229,0,0
525,MIZ230_whole_blood,3,MIZ230,0,0
526,MIZ231_whole_blood,2,MIZ231,0,0
527,MIZ232_whole_blood,2,MIZ232,0,0
528,MIZ233_whole_blood,4,MIZ233,0,0
529,MIZ234_whole_blood,2,MIZ234,0,0
530,MIZ235_whole_blood,4,MIZ235,0,0
531,MIZ236_urine,2,MIZ236,0,0
532,MIZ236_whole_blood,2,MIZ236,0,0
533,MIZ237_whole_blood,3,MIZ237,0,0
534,MIZ238_whole_blood,4,MIZ238,0,0
535,MIZ239_whole_blood,3,MIZ239,0,0
536,MIZ240_whole_blood,4,MIZ240,0,0
537,MIZ242_whole_blood,4,MIZ242,0,0
538,MIZ243_whole_blood,4,MIZ243,0,0
539,MIZ244_whole_blood,3,MIZ244,0,0
540,MIZ245_whole_blood,3,MIZ245,0,0
541,MIZ246_whole_blood,3,MIZ246,0,0
542,MIZ247_whole_blood,3,MIZ247,0,0
543,MIZ248_whole_blood,3,MIZ248,0,0
544,MIZ249_whole_blood,3,MIZ249,0,0
545,MIZ250_whole_blood-1,3,MIZ250,0,0
546,MIZ250_whole_blood-2,3,MIZ250,0,0
547,MIZ260_urine,2,MIZ260,0,0
548,MIZ260_whole_blood,2,MIZ260,0,0
549,MIZ261_urine,2,MIZ261,0,0
550,MIZ261_whole_blood,2,MIZ261,0,0
551,MIZ262_urine,2,MIZ262,0,0
552,MIZ262_whole_blood,4,MIZ262,0,0
553,MIZ264_whole_blood,4,MIZ264,0,0
554,MIZ265_urine,2,MIZ265,0,0
555,MIZ265_whole_blood,4,MIZ265,0,0
556,MIZ266_whole_blood,4,MIZ266,0,0
557,MIZ267_urine,2,MIZ267,0,0
558,MIZ267_whole_blood,4,MIZ267,0,0
559,MIZ269_whole_blood,4,MIZ269,0,0
560,MIZ270_whole_blood,3,MIZ270,0,0
561,MIZ271_urine,2,MIZ271,0,0
562,MIZ271_whole_blood,3,MIZ271,0,0
563,MIZ273_whole_blood,3,MIZ273,0,0
564,MIZ274_urine,2,MIZ274,0,0
565,MIZ274_whole_blood,3,MIZ274,0,0
566,MIZ275_urine-1,2,MIZ275,0,0
567,MIZ275_urine-2,2,MIZ275,0,0
568,MIZ275_whole_blood,4,MIZ275,0,0
569,MIZ276_whole_blood,4,MIZ276,0,0
570,MIZ277_urine,2,MIZ277,0,0
571,MIZ277_whole_blood,4,MIZ277,0,0
572,MIZ278_urine,2,MIZ278,0,0
573,MIZ278_whole_blood,4,MIZ278,0,0
574,MIZ279_urine,2,MIZ279,0,0
575,MIZ279_whole_blood,4,MIZ279,0,0
576,MIZ280_urine,2,MIZ280,0,0
577,MIZ280_whole_blood,4,MIZ280,0,0
578,MIZ281_urine,2,MIZ281,0,0
579,MIZ281_urine-1,2,MIZ281,0,0
580,MIZ281_whole_blood,4,MIZ281,0,0
581,MIZ282_whole_blood,4,MIZ282,0,0
582,MIZ283_whole_blood,4,MIZ283,0,0
583,MIZ284_whole_blood,4,MIZ284,0,0
584,MIZ285_whole_blood,4,MIZ285,0,0
585,MIZ290_whole_blood,4,MIZ290,0,0
586,MIZ291_urine-1,2,MIZ291,0,0
587,MIZ291_whole_blood,3,MIZ291,0,0
588,MIZ292_urine,2,MIZ292,0,0
589,MIZ292_whole_blood,3,MIZ292,0,0
590,MIZ293_urine,2,MIZ293,0,0
591,MIZ293_whole_blood,3,MIZ293,0,0
592,MIZ294_urine,2,MIZ294,0,0
593,MIZ294_whole_blood,3,MIZ294,0,0
594,MIZ295_urine,2,MIZ295,0,0
595,MIZ295_whole_blood,3,MIZ295,0,0
596,MIZ297_urine,2,MIZ297,0,0
597,MIZ297_whole_blood,3,MIZ297,0,0
598,MIZ298_urine-1,2,MIZ298,0,0
599,MIZ298_urine-2,2,MIZ298,0,0
600,MIZ298_whole_blood,3,MIZ298,0,0
601,MIZ300_urine-1,2,MIZ300,0,0
602,MIZ300_urine-2,2,MIZ300,0,0
603,MIZ300_whole_blood,4,MIZ300,0,0
604,MIZ301_whole_blood,4,MIZ301,0,0
605,MIZ302_whole_blood,4,MIZ302,0,0
606,MIZ304_whole_blood,4,MIZ304,0,0
607,MIZ305_urine,2,MIZ305,0,0
608,MIZ305_urine-1,2,MIZ305,0,0
609,MIZ305_whole_blood,4,MIZ305,0,0
610,MIZ306_whole_blood,4,MIZ306,0,0
611,MIZ307_whole_blood,3,MIZ307,0,0
612,MIZ308_whole_blood,3,MIZ308,0,0
613,MIZ309_whole_blood,3,MIZ309,0,0
614,MIZ315_urine,2,MIZ315,0,0
615,MIZ316_urine,2,MIZ316,0,0
616,MIZ316_whole_blood,4,MIZ316,0,0
617,MIZ317_whole_blood,4,MIZ317,0,0
618,MIZ318_urine,2,MIZ318,0,0
619,MIZ318_whole_blood,4,MIZ318,0,0
620,MIZ319_whole_blood,4,MIZ319,0,0
621,MIZ320_whole_blood,4,MIZ320,0,0
622,MIZ321_whole_blood,4,MIZ321,0,0
623,MIZ322_urine,2,MIZ322,0,0
624,MIZ322_whole_blood,4,MIZ322,0,0
